SocialSecurityNumberValue|StatusID
065-70-7090|1
070-33-4138|1
081-63-7179|1
901-39-0529|1
579-83-5536|1
431-26-6029|1
419-53-6761|1
478-55-6019|1
715-36-6685|1
610-30-8710|1
617-74-2885|1
689-55-1081|1
167-15-0652|1
261-89-4324|1
935-82-7920|1
882-22-2933|1
028-78-4475|1
443-44-6277|1
915-59-1554|1
108-36-9676|1
745-47-3329|1
847-29-6409|1
764-89-2817|1
446-27-1130|1
538-16-6412|1
244-54-7236|1
810-83-1444|1
375-58-5201|1
424-18-3055|1
661-77-9660|1
952-06-7901|1
098-52-4195|1
100-09-5373|1
151-12-3255|1
012-58-5144|1
335-90-2815|1
986-67-0445|1
432-30-5226|1
823-37-8881|1
812-42-1118|1
336-11-1158|1
316-49-2057|1
323-44-6427|1
222-15-4536|1
187-66-7142|1
819-37-9999|1
006-09-2678|1
024-67-1028|1
921-52-7618|1
268-28-1458|1
531-29-6652|1
426-81-0145|1
210-69-0896|1
309-02-4655|1
639-76-5269|1
591-25-6386|1
808-01-0064|1
888-80-3345|1
844-31-4293|1
014-40-9720|1
444-06-1658|1
497-69-8574|1
788-76-8429|1
700-61-6677|1
910-70-0774|1
802-39-9095|1
576-33-2753|1
124-46-2701|1
140-64-4798|1
331-58-5044|1
585-20-3020|1
118-86-9562|1
300-15-0745|1
669-80-4848|1
795-11-3950|1
339-97-1100|1
257-05-9261|1
520-44-0633|1
697-32-5962|1
895-36-0472|1
378-46-1793|1
339-12-4127|1
366-79-8322|1
122-50-2434|1
835-90-5283|1
790-33-3506|1
875-80-6653|1
370-08-5397|1
578-07-7593|1
239-42-5443|1
360-41-7843|1
028-29-3448|1
306-46-9939|1
982-97-1849|1
278-14-5392|1
683-68-5308|1
535-90-9929|1
246-03-5567|1
382-01-3842|1
639-76-0494|1
653-13-3722|1
288-76-0985|1
459-80-6146|1
184-49-8705|1
357-89-8279|1
480-10-9374|1
001-89-3806|1
229-70-5145|1
551-12-3835|1
228-64-2838|1
960-66-6968|1
944-33-8458|1
812-98-3749|1
441-23-8770|1
916-35-4213|1
123-89-1277|1
729-90-9158|1
447-64-8647|1
669-43-4233|1
857-73-6469|1
715-23-1622|1
331-23-8189|1
174-41-5640|1
982-67-1023|1
563-56-6718|1
503-31-3523|1
094-43-2252|1
256-50-7440|1
368-51-0272|1
832-28-9040|1
423-95-2532|1
728-72-9921|1
715-58-1286|1
602-94-4771|1
564-74-2338|1
813-88-0792|1
193-17-1125|1
071-76-3076|1
422-46-7327|1
418-96-7090|1
792-34-1362|1
660-56-7126|1
849-83-8340|1
679-79-7270|1
224-49-4803|1
748-69-7522|1
510-55-6298|1
948-64-1105|1
791-35-1906|1
945-31-2667|1
260-30-6224|1
420-81-6070|1
341-90-1870|1
521-96-0495|1
245-51-3767|1
386-84-2736|1
827-67-7668|1
980-90-4086|1
080-84-7026|1
026-86-2082|1
522-90-5283|1
567-42-4919|1
105-80-6803|1
873-41-7885|1
565-98-5898|1
580-70-1258|1
734-41-5042|1
917-12-6326|1
500-28-3889|1
214-34-9667|1
904-32-0354|1
978-99-0612|1
521-68-0931|1
884-28-0432|1
593-95-2666|1
978-42-9185|1
819-50-1410|1
577-29-4621|1
704-60-7850|1
895-07-1415|1
103-89-4639|1
713-96-0920|1
753-59-9902|1
529-06-0253|1
033-85-1255|1
461-33-1644|1
366-52-8635|1
470-40-8413|1
825-33-0232|1
573-28-3938|1
276-62-6100|1
951-78-3899|1
579-88-9851|1
175-23-8289|1
928-29-4398|1
116-54-4431|1
337-25-2815|1
621-53-5461|1
278-63-4959|1
622-88-6412|1
069-18-3116|1
596-26-4337|1
415-09-0672|1
735-88-4441|1
180-19-2965|1
035-54-1048|1
402-71-7835|1
580-24-0319|1
113-65-0959|1
064-67-1491|1
894-95-9917|1
344-11-0451|1
517-33-0376|1
007-70-4629|1
376-60-3611|1
837-44-3381|1
250-25-0906|1
391-22-1778|1
857-49-9434|1
280-48-5972|1
338-35-4076|1
918-84-9252|1
452-83-0859|1
252-52-2103|1
068-40-0097|1
321-21-6356|1
671-28-2141|1
758-81-4302|1
059-50-7355|1
814-49-6168|1
102-24-8477|1
440-67-3491|1
056-46-7592|1
436-39-6060|1
252-99-7260|1
880-33-8258|1
168-54-2847|1
308-61-2091|1
383-58-5372|1
977-86-3390|1
190-64-3492|1
469-15-2798|1
363-63-7269|1
660-27-7463|1
876-24-8899|1
608-51-8159|1
704-18-1789|1
909-64-9492|1
332-79-6284|1
638-06-0884|1
812-08-5983|1
420-25-7469|1
257-78-8484|1
446-52-6970|1
099-51-2717|1
538-43-3743|1
319-77-0745|1
721-28-6812|1
160-28-9921|1
400-14-3562|1
651-72-5697|1
638-85-1875|1
148-46-9886|1
143-35-7223|1
967-26-6606|1
482-81-1387|1
677-79-3621|1
254-32-2821|1
014-09-8046|1
917-26-9661|1
754-85-6463|1
492-79-7937|1
128-46-6586|1
085-39-9755|1
386-18-4239|1
352-75-0154|1
021-68-4692|1
853-72-3431|1
994-40-4045|1
288-62-7582|1
383-23-1959|1
023-39-4944|1
076-48-4630|1
867-36-3506|1
480-59-4035|1
387-86-1433|1
858-66-3368|1
789-89-5818|1
497-90-1346|1
303-50-3977|1
389-84-8355|1
900-70-1594|1
779-36-7878|1
929-28-2786|1
552-16-3239|1
119-37-1290|1
939-61-5286|1
261-43-9629|1
422-59-3346|1
614-53-4870|1
360-77-9769|1
066-48-5147|1
515-58-8920|1
244-61-5054|1
356-92-3857|1
059-24-7427|1
258-38-5279|1
006-37-8907|1
869-13-4104|1
872-48-1078|1
824-17-8376|1
301-57-5034|1
302-49-6760|1
809-60-7935|1
237-69-0007|1
024-90-5007|1
577-36-3568|1
592-36-1474|1
959-36-4091|1
087-20-3498|1
105-64-1010|1
784-42-4413|1
668-06-3591|1
882-75-7497|1
067-45-7746|1
734-77-6682|1
890-84-2222|1
909-30-1156|1
751-24-8094|1
690-34-2154|1
095-22-2909|1
326-70-9611|1
692-45-2761|1
559-36-8511|1
142-69-6068|1
607-52-9075|1
373-23-5857|1
741-20-3503|1
128-20-3473|1
985-04-1865|1
632-97-7130|1
144-79-5411|1
459-74-7437|1
813-05-3160|1
392-33-4905|1
371-77-6002|1
509-15-7077|1
901-32-1169|1
630-35-0192|1
940-20-5103|1
614-71-4194|1
090-92-3779|1
138-99-9071|1
066-15-7847|1
164-56-1832|1
270-35-8655|1
859-75-4265|1
747-48-8892|1
479-73-6600|1
596-51-4344|1
522-52-5418|1
234-20-3345|1
896-30-4031|1
113-24-7702|1
693-44-9959|1
923-74-7582|1
933-36-0049|1
154-09-4422|1
084-86-2305|1
530-61-1975|1
718-54-4838|1
473-54-6299|1
243-93-3598|1
848-37-0461|1
463-74-5236|1
656-06-0338|1
893-56-9919|1
901-66-1542|1
430-37-4373|1
100-15-3327|1
104-37-6918|1
206-40-6910|1
287-22-8991|1
366-68-8078|1
399-09-9868|1
958-69-3339|1
918-43-8128|1
197-64-0550|1
206-81-8794|1
330-05-1755|1
193-15-7805|1
028-74-0066|1
354-26-3522|1
832-37-8337|1
135-53-8758|1
184-50-5775|1
168-47-6772|1
104-18-7222|1
520-90-7297|1
637-01-5787|1
811-95-1771|1
723-18-5367|1
028-37-3403|1
980-60-4343|1
981-09-0577|1
979-07-1096|1
179-03-3128|1
302-17-5726|1
498-09-9622|1
059-51-8374|1
277-72-2568|1
773-03-4130|1
656-41-3538|1
339-16-1319|1
237-19-8659|1
243-13-0950|1
664-54-8452|1
620-46-9786|1
266-51-7947|1
604-23-0844|1
574-96-8642|1
503-70-8874|1
178-21-0650|1
645-32-6511|1
756-84-8645|1
181-07-9750|1
706-26-9673|1
867-39-9663|1
992-66-2596|1
278-51-5115|1
618-06-1855|1
270-76-1880|1
268-73-4838|1
978-07-9135|1
030-02-2183|1
194-86-6177|1
114-09-4447|1
819-89-9701|1
117-71-5752|1
897-51-0467|1
628-90-7007|1
553-03-2705|1
466-49-0754|1
676-91-3306|1
491-73-1899|1
054-83-3737|1
748-80-7923|1
642-17-4224|1
067-80-1542|1
216-16-0576|1
613-37-2235|1
437-35-1662|1
213-48-9935|1
947-73-3780|1
542-44-1719|1
114-33-1698|1
780-07-8699|1
202-15-7127|1
255-98-7352|1
279-49-2279|1
117-25-3340|1
018-07-5434|1
108-06-3776|1
024-84-3607|1
380-80-0696|1
414-10-7267|1
251-95-4701|1
984-44-0893|1
188-41-2201|1
511-19-3646|1
431-93-9900|1
765-83-4781|1
044-52-3735|1
628-01-2744|1
792-75-2221|1
509-82-3493|1
643-84-8864|1
009-03-5337|1
758-14-8154|1
245-83-6528|1
324-60-8712|1
013-59-9066|1
371-61-9689|1
591-37-5752|1
353-62-9459|1
196-20-6784|1
867-68-5898|1
870-86-3428|1
478-42-9065|1
456-01-6995|1
662-80-6941|1
721-31-4106|1
403-78-1638|1
316-14-2068|1
380-06-4696|1
311-65-4059|1
588-56-9397|1
137-38-1519|1
063-45-7287|1
528-53-1704|1
001-91-6068|1
270-92-5712|1
881-63-3170|1
535-79-4130|1
515-55-5398|1
383-49-8160|1
873-17-7671|1
501-86-4455|1
760-53-4218|1
542-66-8524|1
682-87-2444|1
993-32-2243|1
600-11-1228|1
898-43-0229|1
089-06-7696|1
527-62-8256|1
612-68-9622|1
912-65-3679|1
403-50-0458|1
162-51-4032|1
150-34-9746|1
465-85-9179|1
169-52-2366|1
316-78-3795|1
693-97-7368|1
744-41-8160|1
676-24-9033|1
596-93-9779|1
890-77-2193|1
876-59-8157|1
179-44-6012|1
719-75-0913|1
049-62-1991|1
851-36-1011|1
589-30-8966|1
583-22-6806|1
631-66-0877|1
230-49-2766|1
500-55-4088|1
996-57-0842|1
698-29-9311|1
421-14-3446|1
778-97-2258|1
645-69-7875|1
617-82-8751|1
802-01-6335|1
082-31-5499|1
539-25-9310|1
728-94-9531|1
325-22-1957|1
682-06-0500|1
115-16-0657|1
170-17-1597|1
552-80-2456|1
455-98-9630|1
300-61-6613|1
401-70-5463|1
775-91-2670|1
534-16-0470|1
001-69-1882|1
392-45-7541|1
031-96-6444|1
737-50-6709|1
809-63-8389|1
474-53-5029|1
305-09-2598|1
968-43-3362|1
292-92-5220|1
649-90-1361|1
783-58-9932|1
019-17-4753|1
971-16-3509|1
491-43-0224|1
319-56-1105|1
990-59-0655|1
707-30-3863|1
764-23-0760|1
787-04-2650|1
852-10-5303|1
232-38-0559|1
508-95-9215|1
677-79-4623|1
364-50-3686|1
152-81-6591|1
238-65-8652|1
226-30-3315|1
457-94-6058|1
749-02-3508|1
917-23-1379|1
211-12-0609|1
820-26-0442|1
966-81-6079|1
189-31-8009|1
603-35-7991|1
018-61-4170|1
417-55-3827|1
400-63-7983|1
199-77-4386|1
450-76-9358|1
571-76-5594|1
325-16-3829|1
308-33-5535|1
615-27-8391|1
258-04-9886|1
530-85-5983|1
806-73-4068|1
933-50-6817|1
755-81-4931|1
263-62-4839|1
605-52-0515|1
672-62-5524|1
242-28-1905|1
416-71-2804|1
863-80-2789|1
543-15-5896|1
809-67-9220|1
840-64-0268|1
529-64-2599|1
877-57-3428|1
889-05-7099|1
070-01-7544|1
787-58-4188|1
436-29-5748|1
408-39-0221|1
127-07-6986|1
403-21-6680|1
903-45-9532|1
562-76-8731|1
025-15-9809|1
293-37-7095|1
847-53-6646|1
570-79-7925|1
524-75-5572|1
171-37-3795|1
347-43-2528|1
005-40-5668|1
561-48-3575|1
675-98-5926|1
756-51-2440|1
881-76-4421|1
438-15-9249|1
865-56-8641|1
358-56-2765|1
906-87-4559|1
111-73-0792|1
574-22-3331|1
620-02-7405|1
414-73-8891|1
352-18-5401|1
072-81-2861|1
548-64-9928|1
115-73-2299|1
455-48-8720|1
389-65-8466|1
291-65-5965|1
901-56-2536|1
513-19-2931|1
911-26-7430|1
701-03-4125|1
036-51-3874|1
324-29-7422|1
990-36-2352|1
463-99-9997|1
849-12-7327|1
461-23-3725|1
894-13-0760|1
293-45-6089|1
287-56-6309|1
992-64-3821|1
250-41-7094|1
817-42-9687|1
485-07-3621|1
105-30-2977|1
362-44-5683|1
254-66-0637|1
560-45-0295|1
371-80-8997|1
337-74-0628|1
778-04-7268|1
112-99-7200|1
853-22-5822|1
291-04-7006|1
764-97-1671|1
011-79-8239|1
778-93-0120|1
041-04-8944|1
567-43-1876|1
353-88-6058|1
809-48-6754|1
906-70-0270|1
635-99-3026|1
578-51-2253|1
986-96-6321|1
363-79-4736|1
862-36-0182|1
076-56-8121|1
051-74-0050|1
832-54-5648|1
532-50-3340|1
976-48-5512|1
026-85-2703|1
140-38-7965|1
521-20-4228|1
786-06-0691|1
263-21-6361|1
714-49-5191|1
588-73-9224|1
863-85-9681|1
022-80-4490|1
737-05-0081|1
891-01-4828|1
081-34-9384|1
204-72-9849|1
222-55-3578|1
389-27-6834|1
935-57-3398|1
928-82-0101|1
815-39-7468|1
629-17-0029|1
302-12-5722|1
348-78-1552|1
415-89-0449|1
586-18-8665|1
697-51-7680|1
534-37-1796|1
565-47-5910|1
285-09-2329|1
110-81-2270|1
997-08-6209|1
736-45-1758|1
935-90-6042|1
413-87-7706|1
203-97-3688|1
638-35-3887|1
473-23-3076|1
242-28-0229|1
567-07-6880|1
412-02-0320|1
339-24-9748|1
928-42-8190|1
424-85-7292|1
691-76-6096|1
164-13-4917|1
409-36-4995|1
223-64-7365|1
844-63-5779|1
919-75-7956|1
598-17-3881|1
488-52-8837|1
572-08-6359|1
795-28-5577|1
550-22-4993|1
659-78-4689|1
698-08-1593|1
531-16-7021|1
189-19-3712|1
296-50-6023|1
397-01-6608|1
024-82-6815|1
341-21-2384|1
726-59-0481|1
855-61-0876|1
941-67-4315|1
237-19-8533|1
109-22-6777|1
636-07-0105|1
686-30-3342|1
513-28-5784|1
034-40-2654|1
896-53-3889|1
818-32-5797|1
231-97-4867|1
112-67-5452|1
614-25-5171|1
939-06-3103|1
749-29-7876|1
983-39-7588|1
671-65-9036|1
904-22-3148|1
470-82-2143|1
822-05-1461|1
043-42-8664|1
274-87-2493|1
191-52-3918|1
465-08-0527|1
817-57-2185|1
268-29-1110|1
478-91-1394|1
630-15-6632|1
676-33-7587|1
172-64-8530|1
331-79-2017|1
371-89-6389|1
444-48-4096|1
538-79-8618|1
367-21-5838|1
851-09-6404|1
097-20-5375|1
104-35-1314|1
007-41-2726|1
204-60-5521|1
491-02-8836|1
539-14-2790|1
851-45-6759|1
579-82-8094|1
701-94-1217|1
278-27-9409|1
080-82-2391|1
119-08-4399|1
316-23-4480|1
071-37-4844|1
366-24-8775|1
857-05-7728|1
978-83-0715|1
305-01-6412|1
964-52-3773|1
728-40-4048|1
010-73-1495|1
332-13-7725|1
313-37-9436|1
444-23-9068|1
831-78-0817|1
192-22-5837|1
931-84-8918|1
349-30-4347|1
869-77-8250|1
598-16-5588|1
063-59-8256|1
044-07-6351|1
335-04-1167|1
105-54-6754|1
829-53-6052|1
165-47-2194|1
559-77-3036|1
793-79-5580|1
513-66-4299|1
715-46-3494|1
947-71-2185|1
385-38-6356|1
082-79-7199|1
447-85-1786|1
467-82-2995|1
217-52-7647|1
829-70-3008|1
606-04-3809|1
256-27-7913|1
268-53-4000|1
206-62-5723|1
767-16-8292|1
457-44-1536|1
969-09-6859|1
499-12-9164|1
125-33-9693|1
259-30-1410|1
665-88-7575|1
049-34-6769|1
837-13-1121|1
844-81-2577|1
320-24-2363|1
606-70-6692|1
470-76-0754|1
611-86-6213|1
615-11-9252|1
465-13-9424|1
822-01-2337|1
259-54-7349|1
814-72-8158|1
153-62-3148|1
042-13-2698|1
428-18-8717|1
680-52-6269|1
300-79-5370|1
066-06-0255|1
137-43-2355|1
751-37-9992|1
170-03-8046|1
025-07-7012|1
501-79-9810|1
853-32-1401|1
760-57-7345|1
352-19-9267|1
054-78-6117|1
316-52-2207|1
696-20-4861|1
709-68-2849|1
580-40-2465|1
316-87-1029|1
465-41-1186|1
171-18-7271|1
646-45-4704|1
397-31-4843|1
291-78-2472|1
309-70-5886|1
388-85-5006|1
584-33-8676|1
215-79-1129|1
696-28-9170|1
893-45-6978|1
632-88-7825|1
808-88-6056|1
884-67-0752|1
750-30-8882|1
002-42-8939|1
038-27-7028|1
658-92-0178|1
602-88-0768|1
251-95-3869|1
614-95-1735|1
553-50-8601|1
786-66-8983|1
465-50-8149|1
982-50-1844|1
425-83-0276|1
979-22-3732|1
219-66-0017|1
215-24-5169|1
680-03-0052|1
706-56-9277|1
219-27-7200|1
901-20-7965|1
029-22-7594|1
995-57-7710|1
887-67-4251|1
833-18-0477|1
050-27-7420|1
014-40-2912|1
172-34-2676|1
343-11-6299|1
893-76-9431|1
887-76-2327|1
464-52-6367|1
231-95-9979|1
614-23-0854|1
231-33-5608|1
092-84-8523|1
957-65-2859|1
186-21-8749|1
429-73-8579|1
529-68-1091|1
130-11-8142|1
827-01-9108|1
193-37-6534|1
411-81-3204|1
744-40-1721|1
206-94-0126|1
707-25-2595|1
777-93-1023|1
657-70-5591|1
358-04-7935|1
778-70-2662|1
888-48-1209|1
271-40-3259|1
650-90-4778|1
199-55-8384|1
965-44-8052|1
703-23-7890|1
845-82-4335|1
849-35-1668|1
712-17-2991|1
352-83-3335|1
859-63-1161|1
055-85-9155|1
052-93-5381|1
687-06-3522|1
781-58-3892|1
264-69-2600|1
754-65-8125|1
005-93-8798|1
832-04-1324|1
954-56-2324|1
027-30-0647|1
145-34-9143|1
722-91-5863|1
889-65-2881|1
251-16-7653|1
082-07-7733|1
777-45-4787|1
040-60-1798|1
521-85-6988|1
237-22-8160|1
783-10-3758|1
306-66-7586|1
288-64-2394|1
475-54-7805|1
673-86-0033|1
524-75-7748|1
115-75-9714|1
359-18-1110|1
753-98-7004|1
884-62-4839|1
216-49-6898|1
770-11-5545|1
912-94-4986|1
007-79-4304|1
534-30-9064|1
698-37-7335|1
177-99-1016|1
924-13-4702|1
844-42-9206|1
265-55-6724|1
059-40-0141|1
755-26-0556|1
091-90-7578|1
449-61-8084|1
276-11-9574|1
541-82-8738|1
205-06-6220|1
966-71-6268|1
382-29-3643|1
220-92-6824|1
634-65-3932|1
826-94-3913|1
416-78-0434|1
851-61-4622|1
975-73-3844|1
293-65-0141|1
513-31-5989|1
047-06-4965|1
051-10-6943|1
387-37-9677|1
691-87-9776|1
076-81-9645|1
415-45-1591|1
566-13-0468|1
830-36-4481|1
160-99-9803|1
243-09-6438|1
350-70-6221|1
084-59-5873|1
896-77-8574|1
697-03-4053|1
076-16-7364|1
485-90-9131|1
420-87-1977|1
855-94-1790|1
552-22-7065|1
049-89-1001|1
714-15-2840|1
324-34-1643|1
356-99-2277|1
377-52-6743|1
302-87-0955|1
641-75-1941|1
711-67-0908|1
068-82-2114|1
446-50-7601|1
443-53-3706|1
880-84-8852|1
757-98-8843|1
122-75-8185|1
572-13-9085|1
685-05-3591|1
523-55-0776|1
084-91-4617|1
512-34-2152|1
010-65-3223|1
073-87-8458|1
404-91-4605|1
857-50-6705|1
789-54-8861|1
211-52-0031|1
376-14-5464|1
183-38-7797|1
852-92-9418|1
682-36-6205|1
909-37-5114|1
670-75-3364|1
562-05-8740|1
972-17-2165|1
448-83-5464|1
688-73-0092|1
192-87-3907|1
459-14-1972|1
669-82-2649|1
542-22-9547|1
904-72-5530|1
840-94-1280|1
159-12-7960|1
550-65-4714|1
129-40-9717|1
330-73-5534|1
234-17-1888|1
932-49-4871|1
230-45-2316|1
314-01-9212|1
072-02-8284|1
919-07-4463|1
663-61-8802|1
419-53-6151|1
213-64-2235|1
919-33-7338|1
226-34-0928|1
711-31-0567|1
766-97-2304|1
066-61-4978|1
896-84-1180|1
874-48-6294|1
643-21-3344|1
525-66-1262|1
673-81-6342|1
574-72-8496|1
264-31-1206|1
498-09-6622|1
828-36-7103|1
771-16-0974|1
216-60-9979|1
383-52-6845|1
497-34-1633|1
594-28-1201|1
400-70-6724|1
966-04-4944|1
422-20-2516|1
381-80-2996|1
377-40-7562|1
456-05-1184|1
919-87-0562|1
237-31-0691|1
129-29-2926|1
949-08-3815|1
686-67-0343|1
001-10-3886|1
989-86-3218|1
216-35-9611|1
846-83-7951|1
698-01-1238|1
928-05-2918|1
045-67-4051|1
064-17-3907|1
603-84-7475|1
202-47-1157|1
870-69-1330|1
266-38-3000|1
368-47-1846|1
796-70-5219|1
095-39-4742|1
274-43-2855|1
169-03-0352|1
090-64-9943|1
629-93-9360|1
997-39-0234|1
574-02-8767|1
845-97-1410|1
662-43-6286|1
823-56-5756|1
108-25-9719|1
883-96-7713|1
916-33-4086|1
462-04-4511|1
081-78-0528|1
139-63-4401|1
364-37-0795|1
162-23-6889|1
645-25-4153|1
333-61-9967|1
657-35-4611|1
460-98-3932|1
023-74-9677|1
165-09-0570|1
615-12-9811|1
426-76-1955|1
089-52-7967|1
189-46-1908|1
496-94-0262|1
283-24-7193|1
356-58-7177|1
412-80-6879|1
990-62-7978|1
659-12-8904|1
472-20-2884|1
023-55-1100|1
708-22-4847|1
220-25-0882|1
200-47-8853|1
271-96-0365|1
367-74-5077|1
249-81-4980|1
339-21-3073|1
293-44-1439|1
398-43-4075|1
906-71-2605|1
902-47-3996|1
916-57-0187|1
235-14-3384|1
629-21-3366|1
802-72-6576|1
761-29-3767|1
383-23-3906|1
790-68-3435|1
802-42-7837|1
341-82-8163|1
680-30-7522|1
625-37-4897|1
637-45-1643|1
489-02-6725|1
160-71-9911|1
970-49-7159|1
486-63-1360|1
031-52-4923|1
869-12-7904|1
057-12-1605|1
235-89-3140|1
522-94-9181|1
584-18-3518|1
168-13-8418|1
213-89-2100|1
718-63-9736|1
352-83-9241|1
068-85-1861|1
680-65-7701|1
260-75-2560|1
699-58-3373|1
004-26-1201|1
359-64-7607|1
073-39-3127|1
364-32-5117|1
294-82-6297|1
283-16-4811|1
817-70-2814|1
237-17-0392|1
128-84-2990|1
148-33-4229|1
096-47-5437|1
504-21-6398|1
090-36-9933|1
213-28-4458|1
611-70-5364|1
674-39-8316|1
141-97-6032|1
775-88-8769|1
056-76-0869|1
081-23-7958|1
462-92-0619|1
889-27-8494|1
968-79-6096|1
989-20-7921|1
488-60-4246|1
835-62-4635|1
503-45-4555|1
467-01-3468|1
819-32-5864|1
667-45-4412|1
553-01-1290|1
198-75-3542|1
384-72-4353|1
687-70-5965|1
222-15-7852|1
811-29-2784|1
452-22-1426|1
623-58-7770|1
341-99-9174|1
715-07-9472|1
263-30-3411|1
169-44-1834|1
663-29-8528|1
071-45-9032|1
029-81-7474|1
859-25-8571|1
561-01-0340|1
308-22-2283|1
299-93-4309|1
352-85-7568|1
437-67-6514|1
488-42-4050|1
256-06-7133|1
602-15-9967|1
426-38-7686|1
240-59-7623|1
030-48-7488|1
061-16-0617|1
913-95-0869|1
113-87-5076|1
752-31-4331|1
096-63-7829|1
252-54-3919|1
343-60-1919|1
144-96-8606|1
038-88-8326|1
460-06-3342|1
668-32-3758|1
009-38-5152|1
590-57-4690|1
318-15-1839|1
206-85-8367|1
564-33-7480|1
985-98-0552|1
371-69-8779|1
557-91-1940|1
201-87-0725|1
254-65-8105|1
174-09-9888|1
058-09-2575|1
268-66-9653|1
922-03-4608|1
008-93-1103|1
024-47-5530|1
085-47-0717|1
279-30-6352|1
498-45-4598|1
321-39-6987|1
397-07-4896|1
373-04-7655|1
848-51-2415|1
491-72-3255|1
090-45-6628|1
417-55-9785|1
084-18-4026|1
519-17-1790|1
739-89-7856|1
354-56-6370|1
797-94-2733|1
267-53-9603|1
971-63-9057|1
345-18-9670|1
312-59-7561|1
746-19-8506|1
972-08-9020|1
481-24-2118|1
296-87-8944|1
311-63-1380|1
979-49-9469|1
604-69-7714|1
053-82-9213|1
702-45-9143|1
073-74-0009|1
436-21-5755|1
423-99-7049|1
935-38-4789|1
735-32-7088|1
062-97-6491|1
066-66-0002|1
767-37-6819|1
021-70-9011|1
984-69-3664|1
929-27-6348|1
987-41-4988|1
211-86-6692|1
319-88-6417|1
433-05-1129|1
468-87-3764|1
063-99-8524|1
272-64-7852|1
914-31-3740|1
319-42-5010|1
674-44-2989|1
339-01-1115|1
844-74-9081|1
210-85-1100|1
979-74-7730|1
359-34-3200|1
569-55-8373|1
525-92-7032|1
514-66-6332|1
849-08-1032|1
125-89-4453|1
169-64-4495|1
343-10-0392|1
002-62-1225|1
468-85-1400|1
742-29-8895|1
013-56-9705|1
054-75-8632|1
663-15-5162|1
596-82-3486|1
478-99-6737|1
805-09-9587|1
665-81-1024|1
324-02-2401|1
281-57-9281|1
715-06-0695|1
563-77-3649|1
743-83-5177|1
133-08-1420|1
582-50-4951|1
933-74-2699|1
690-52-6295|1
449-66-7673|1
182-08-4807|1
787-69-5402|1
730-77-1824|1
935-94-0930|1
447-04-0532|1
983-73-1571|1
156-67-0144|1
817-09-3070|1
607-39-2684|1
970-59-0445|1
299-27-3934|1
302-38-6938|1
884-95-1488|1
977-40-2979|1
959-65-5560|1
402-49-7147|1
217-70-7885|1
472-29-9906|1
753-37-9949|1
174-18-2985|1
272-76-1826|1
138-64-6825|1
699-15-6505|1
359-10-7781|1
009-18-2704|1
716-85-4358|1
751-21-9035|1
554-75-8837|1
256-82-9735|1
403-55-0176|1
699-71-7764|1
850-70-6419|1
116-82-0105|1
873-70-3421|1
065-85-6071|1
011-46-1142|1
720-04-5071|1
559-42-9747|1
395-72-0066|1
299-88-8103|1
709-30-5955|1
633-66-3891|1
002-16-4730|1
628-60-0356|1
425-87-5027|1
561-49-8961|1
277-25-3620|1
859-68-5126|1
510-14-2878|1
801-46-9874|1
635-81-9397|1
200-17-4055|1
746-43-1972|1
218-01-3062|1
641-10-4352|1
472-14-5453|1
472-83-2287|1
111-03-6364|1
448-85-6146|1
083-13-5205|1
